id,Einstein_Radius_actual,Einstein_radius_Inception,Einstein_Radius_Sequential,Einstein_Radius_ResNet,Einstein_Radius_ResNetXt,Sigma_V_actual,Sigma_V_Inception,Sigma_V_Sequential,Sigma_V_ResNet,Sigma_V_ResNetXt,RedShift_Lens_ZL_actual,RedShift_Lens_ZL_Inception,RedShift_Lens_ZL_Sequential,RedShift_Lens_ZL_ResNet,RedShift_Lens_ZL_ResNetXt,Redshift_Source_ZS_actual,Redshift_Source_ZS_Inception,Redshift_Source_ZS_Sequential,Redshift_Source_ZS_ResNet,Redshift_Source_ZS_ResNetXt
104,1.695,1.39811,1.74724,1.64349,1.68679,275.655,267.016,267.183,282.779,273.276,0.21,0.198334,0.16815,0.177271,0.189842,1.201,1.47001,1.03063,1.0789,1.44123
105,2.725,2.50491,2.60647,2.33764,2.18971,339.083,354.791,303.386,325.467,341.845,0.263,0.185311,0.186515,0.203531,0.190675,2.603,1.80417,1.375,1.52124,1.83941
106,1.558,1.88187,1.47934,1.63261,1.6918,264.071,266.175,273.627,249.28,277.167,0.273,0.309729,0.268272,0.315664,0.308313,1.788,1.93665,1.68749,2.01014,1.91734
107,1.231,1.12898,1.17684,1.15272,1.22493,243.134,257.196,258.376,244.887,253.239,0.198,0.24181,0.232898,0.209551,0.230126,0.845,0.712725,0.853659,1.10661,0.779964
108,0.892,0.661802,0.759138,0.814265,0.851858,201.238,205.449,202.215,195.933,203.31,0.269,0.325711,0.30646,0.312562,0.29039,1.617,1.34221,1.54678,1.77827,1.09723
109,1.181,1.06152,1.09282,1.01835,1.11796,266.288,237.884,268.163,271.235,258.5,0.612,0.717993,0.695145,0.603568,0.61564,2.09,2.95175,1.98953,1.92099,2.53633
110,2.591,2.82054,2.78659,2.52803,2.59409,350.299,354.115,348.994,337.685,360.487,0.308,0.298178,0.263469,0.301865,0.288068,1.611,1.28843,1.83843,2.03021,1.62346
111,1.48,1.33816,1.41666,1.45243,1.34098,275.524,269.989,268.128,273.742,268.334,0.437,0.389416,0.40646,0.382806,0.428762,2.0,2.22103,2.52395,1.91104,1.47083
112,0.928,0.971147,1.0413,1.08835,1.02825,283.82,267.973,259.637,267.268,260.181,0.535,0.474881,0.466658,0.418086,0.50267,1.013,1.43365,1.78245,2.03526,1.15516
113,1.282,1.34048,1.31605,1.34893,1.15664,316.546,306.72,318.896,315.033,298.829,0.848,0.858685,0.778606,0.901183,0.76339,2.045,2.36624,2.35771,2.78234,2.54701
114,1.075,1.00976,1.00956,1.01962,0.979036,245.616,230.212,236.364,232.306,223.299,0.256,0.305866,0.256597,0.293759,0.286722,0.767,0.898186,1.08851,1.40214,1.22969
115,1.387,1.35385,1.60718,1.45391,1.32681,241.485,241.551,248.563,246.954,242.817,0.225,0.275407,0.234173,0.257957,0.27571,2.024,1.21218,1.67404,1.72717,1.93396
116,1.05,1.06292,1.2237,0.971332,0.848115,246.228,232.631,232.797,252.494,219.448,0.598,0.524202,0.545684,0.523182,0.559754,2.237,1.51962,1.90612,1.64862,2.24745
117,1.207,1.19371,1.07755,1.06198,1.19911,262.666,254.251,250.915,243.773,246.151,0.481,0.423896,0.456379,0.403678,0.438844,1.656,1.63138,1.53245,1.39515,1.33505
118,1.802,1.74097,1.81153,1.97594,1.85989,320.227,302.69,316.903,317.461,326.791,0.523,0.451298,0.51093,0.426548,0.505077,1.896,1.9847,2.40134,2.67986,2.00434
119,1.263,1.21121,1.30268,1.37727,1.32385,270.426,243.132,232.985,244.392,239.681,0.25,0.202915,0.208912,0.215963,0.255817,0.703,1.64504,1.25486,1.31622,1.52359
121,0.762,0.988763,0.768514,0.776582,0.826508,200.089,211.988,217.26,221.658,201.114,0.46,0.566425,0.548911,0.638573,0.545558,1.991,2.52896,3.00567,2.76275,2.61354
122,1.513,1.6035,1.53264,1.53981,1.49313,331.305,334.596,299.978,327.215,316.445,0.871,0.739943,0.950288,0.894198,0.963337,2.398,2.17214,3.11694,2.51361,2.26308
123,1.521,1.45692,1.47923,1.60941,1.47157,284.249,300.608,272.115,277.981,282.412,0.575,0.581111,0.678534,0.513476,0.650652,2.776,2.39572,2.3663,2.47893,1.72944
124,1.2,1.41709,1.26983,1.62364,1.58353,239.051,248.022,281.006,244.779,274.213,0.105,0.161699,0.149578,0.147063,0.138176,0.419,1.70259,1.31578,1.1493,1.04283
125,0.79,0.864614,0.803644,0.866097,0.828636,208.236,190.196,229.937,233.484,209.15,0.582,0.66673,0.66724,0.728567,0.551793,2.507,2.41697,1.82775,2.00793,2.02854
126,3.125,2.12519,2.60166,2.78329,2.66706,364.001,347.759,291.712,335.26,307.716,0.278,0.161699,0.180484,0.18536,0.163822,2.752,0.929606,1.31921,1.52132,1.37909
127,0.94,0.824964,0.964002,0.871686,0.949525,251.979,275.265,280.762,242.102,232.327,0.81,0.962046,0.919097,1.04923,0.816486,2.464,2.7708,2.57997,3.29989,2.57778
128,2.004,1.79862,1.82501,1.87739,1.98351,323.593,306.586,307.718,315.069,313.843,0.455,0.375604,0.450834,0.483471,0.430944,1.992,2.05369,2.02235,1.74877,2.0481
129,1.913,1.6868,1.85247,1.61599,1.95519,312.212,299.327,296.539,305.367,277.116,0.207,0.14817,0.148507,0.144888,0.15823,0.748,0.890857,1.04249,1.05706,1.20986
130,0.932,1.0043,0.985793,0.914543,0.919578,237.813,235.296,264.701,226.561,223.693,0.727,0.708987,0.839364,0.77993,0.848477,2.674,2.23667,2.40459,2.39132,2.21355
131,1.022,0.919111,1.03581,0.826903,0.924398,212.071,212.606,223.813,218.361,217.25,0.274,0.303573,0.318299,0.359757,0.340154,2.0,0.818967,0.911601,0.921101,0.813859
132,1.202,1.29927,1.30001,1.28736,1.32795,247.42,251.555,258.121,244.279,252.462,0.41,0.457088,0.427564,0.37544,0.417407,1.857,1.93256,1.9184,1.73918,1.73558
133,1.542,1.40635,1.60795,1.48638,1.53129,258.805,280.882,272.4,284.139,260.204,0.333,0.480977,0.390601,0.318556,0.352352,3.169,1.84559,1.78012,1.7423,2.09688
134,0.838,0.861183,0.828262,0.914701,0.841157,252.022,283.195,288.062,258.214,259.102,0.762,0.749734,0.822623,0.751499,0.725787,1.841,2.12714,1.8973,1.5724,1.96657
135,1.469,1.42454,1.62003,1.59471,1.48009,256.038,285.253,256.897,250.734,267.46,0.274,0.306065,0.312798,0.325357,0.263087,1.832,1.40082,1.90572,1.70352,1.61123
136,1.783,1.68878,1.69034,1.67597,1.57447,282.037,281.073,276.435,282.881,272.724,0.269,0.265789,0.234466,0.273143,0.252464,1.783,2.64094,1.30668,1.94493,1.4075
137,1.073,1.09417,1.02698,0.900564,0.932673,262.859,268.536,258.076,247.331,249.755,0.838,0.88848,0.938427,0.851378,0.819281,2.906,2.87648,3.29566,2.28075,2.92879
138,1.144,1.19946,1.15746,1.13704,1.11992,234.921,229.172,228.367,234.697,219.688,0.293,0.32787,0.297218,0.304193,0.290414,1.392,1.59748,1.35225,1.44073,2.5896
141,0.76,0.79202,0.840846,0.767219,0.8412,221.759,280.392,243.683,265.108,256.534,0.888,1.12887,1.04732,0.889362,0.886881,3.167,2.63407,2.63681,2.59966,3.09563
142,1.017,0.88502,0.924353,0.937033,1.0245,246.961,260.502,258.128,262.219,240.306,0.547,0.547926,0.532725,0.554205,0.517114,1.776,1.68134,1.99562,2.16069,1.75703
